order_id,product_id,quantity,subtotal
4526,393,4,3437.24
9536,123,9,7662.87
2267,434,9,16108.74
2014,449,4,1787.32
5315,346,6,11407.74
5141,98,6,3134.16
8000,266,4,4689.32
6330,355,1,1410.82
6759,321,6,5071.44
3780,456,1,1383.06
6182,44,9,9595.89
5738,93,2,1268.18
6768,378,7,8691.76
7571,143,4,1548.56
3020,381,3,2963.52
3674,236,6,11112.36
9089,136,9,2357.73
5465,227,3,445.83
8231,342,4,4387.32
3483,83,6,2442.24
2045,273,8,4067.04
8703,424,1,586.5
5452,75,3,2297.67
1941,191,1,265.87
4153,164,7,2010.19
7907,265,6,8407.38
3062,196,9,6113.7
469,2,8,2716.16
651,298,8,1434.64
3145,44,8,8529.68
861,260,3,2423.64
3626,360,10,5096.9
2635,272,7,12313.56
478,412,7,2808.82
745,93,10,6340.9
8008,318,3,1185.84
4926,351,4,1494.4
8714,462,8,1634.88
5423,199,6,2812.32
4412,486,3,2514.48
3968,424,10,5865.0
6878,395,3,3851.28
1705,418,2,3083.98
4173,164,10,2871.7
5125,138,3,2035.83
363,499,7,439.11
8401,328,4,587.92
778,2,5,1697.6
8998,448,8,9551.92
9647,479,4,4508.16
6368,479,2,2254.08
2737,364,1,1500.05
5890,209,7,12376.84
9942,39,8,14057.2
27,421,5,5139.05
2843,363,6,2163.24
7598,417,9,5834.88
4461,26,9,6147.63
3399,173,8,6575.92
3085,49,10,18021.7
7226,194,8,2524.24
7022,456,10,13830.6
7974,89,9,4258.71
9496,493,6,4704.36
8915,278,9,10290.33
2005,116,1,805.04
6364,268,6,580.26
5413,350,10,353.6
3118,119,8,1532.48
2352,178,1,1511.99
8945,216,1,482.74
6331,249,8,11912.64
2533,176,2,2563.66
9465,312,5,7123.25
7513,322,4,108.4
2792,331,2,846.1
1009,309,2,704.7
3475,232,2,430.78
6908,225,1,570.03
3583,130,7,9612.54
5567,282,5,1372.45
9330,470,7,3998.05
9796,349,9,1898.28
9749,179,1,1849.92
2957,83,10,4070.4
4267,418,5,7709.95
8540,312,1,1424.65
5730,12,3,3315.48
4457,180,10,1561.6
5000,285,5,4812.3
6325,390,5,7371.2
3742,437,3,4606.32
281,347,3,2562.6
4947,484,4,2379.0
8242,45,9,2962.8
6674,295,8,4068.56
1371,482,3,4790.7
475,451,6,745.8
8924,27,5,2232.4
3802,354,2,3672.28
5367,261,9,15196.59
6145,495,6,7116.06
3899,298,2,358.66
4830,28,4,564.44
