order_id,customer_id,order_date,total_amount
1,4013,2024-11-20,4522.03
2,1278,2024-07-14,692.01
3,2347,2024-06-04,2907.87
4,5872,2024-05-31,2001.27
5,8197,2024-05-21,3657.86
6,3278,2024-06-14,899.49
7,2929,2024-08-26,4323.02
8,8701,2024-10-02,1978.42
9,2619,2024-09-28,3120.78
10,246,2025-01-11,2490.86
11,9313,2025-02-10,2100.13
12,3960,2024-12-04,498.49
13,4308,2024-06-05,768.48
14,4634,2024-04-21,3953.79
15,3461,2024-07-11,244.61
16,9882,2024-06-11,4657.15
17,4353,2024-10-13,1723.29
18,46,2025-02-07,3416.65
19,4897,2024-09-08,2630.94
20,4934,2024-04-15,1499.38
21,4858,2025-02-25,3146.75
22,5350,2024-06-09,3540.88
23,8035,2025-02-05,2413.62
24,2123,2024-03-28,1400.19
25,5190,2024-12-18,2530.43
26,1753,2024-04-27,4646.73
27,3628,2024-03-31,652.69
28,4409,2024-12-28,2675.16
29,3863,2024-07-15,811.43
30,6343,2024-04-10,771.49
31,205,2024-03-31,787.18
32,7450,2024-09-03,3111.05
33,6928,2024-03-23,3143.54
34,1378,2024-12-08,573.91
35,7738,2024-06-10,4423.23
36,7126,2024-07-22,436.13
37,1035,2024-12-24,2896.05
38,8164,2024-06-20,1676.92
39,8206,2025-01-25,2979.36
40,5723,2024-11-20,3587.17
41,8407,2024-04-25,4216.87
42,295,2024-06-07,2034.59
43,9432,2024-10-12,2303.42
44,9176,2024-12-09,3221.51
45,3867,2024-05-04,4625.38
46,3946,2025-01-11,307.68
47,9129,2024-09-22,1724.14
48,5188,2024-04-24,566.42
49,5202,2024-04-20,889.41
50,6100,2025-02-12,119.55
51,5302,2024-11-22,626.85
52,7519,2025-01-24,1637.48
53,4516,2024-03-23,4609.44
54,3741,2024-10-09,2962.96
55,9204,2025-01-24,2688.12
56,8012,2024-05-15,4244.8
57,2857,2025-03-07,323.57
58,5550,2025-01-06,599.32
59,3108,2024-11-20,2931.41
60,1697,2025-02-18,840.73
61,889,2024-12-17,1126.54
62,8514,2024-12-12,1611.15
63,396,2024-10-14,90.75
64,5527,2024-12-29,1696.5
65,2393,2024-06-30,569.0
66,2369,2024-04-13,2690.49
67,4967,2024-05-28,1412.59
68,4152,2024-04-18,4284.68
69,1421,2024-06-01,4019.51
70,4512,2025-02-04,4176.85
71,7342,2024-12-21,1063.03
72,5818,2024-08-12,3241.64
73,6566,2025-02-02,179.76
74,5785,2024-07-11,317.95
75,3854,2024-10-30,510.57
76,582,2024-05-23,591.23
77,6223,2024-07-08,4289.32
78,3805,2025-02-21,2265.92
79,1575,2024-12-18,1121.76
80,3352,2024-07-17,2974.67
81,1294,2024-09-08,2331.28
82,4302,2024-05-07,2872.98
83,2816,2025-01-21,2472.01
84,9866,2024-03-22,1201.71
85,5369,2025-02-15,2446.4
86,4499,2025-02-24,2258.84
87,9553,2024-10-15,1197.45
88,4995,2024-04-01,3289.94
89,4788,2025-01-26,4354.13
90,5791,2025-02-16,2470.22
91,9297,2024-08-30,377.3
92,8432,2024-07-10,2283.36
93,4244,2024-11-26,4434.16
94,9037,2025-02-23,784.68
95,1818,2024-05-15,351.67
96,9601,2024-07-07,3568.9
97,5898,2024-05-19,1100.36
98,6906,2024-07-19,4212.58
99,232,2024-06-25,3454.27
100,203,2024-06-12,4434.05
101,8021,2024-03-24,4110.31
102,1352,2024-11-16,3179.87
103,3802,2024-05-09,889.89
104,1452,2024-08-24,657.65
105,6104,2025-03-03,3839.3
106,2875,2024-09-12,1986.84
107,9673,2024-09-19,2752.45
108,5347,2025-03-18,1437.84
109,7544,2024-09-19,3469.2
110,4973,2025-03-07,793.32
